Area,Items,Time,Change(%)
Ku-area of Tokyo,Salted & dried fish,2010,-6.6
Ku-area of Tokyo,Salted salmon,2010,0.4
Ku-area of Tokyo,Salted cod roe,2010,-11.8
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2010,-0.4
Ku-area of Tokyo,Dried horse mackerel,2010,-8.0
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2010,-3.6
Ku-area of Tokyo,Capelin,2010,-11.8
Ku-area of Tokyo,Salmon roe,2010,
Ku-area of Tokyo,Fish-paste products,2010,-2.9
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2010,-5.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2010,-3.7
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2010,0.3
Ku-area of Tokyo,Other processed fish & seafood,2010,-1.9
Ku-area of Tokyo,Dried bonito fillets,2010,3.0
Ku-area of Tokyo,Pickled fish,2010,-1.2
Ku-area of Tokyo,Fish prepared in soy sauce,2010,-1.1
Ku-area of Tokyo,Canned fish,2010,-5.8
Ku-area of Tokyo,Fish & seafood,2009,-2.6
Ku-area of Tokyo,Fresh fish & seafood,2009,-4.6
Ku-area of Tokyo,Tuna fish,2009,-2.7
Ku-area of Tokyo,Horse mackerel,2009,-5.1
Ku-area of Tokyo,Sardines,2009,-6.3
Ku-area of Tokyo,Bonito,2009,4.2
Ku-area of Tokyo,Salmon,2009,-7.2
Ku-area of Tokyo,Mackerel,2009,-6.6
Ku-area of Tokyo,Saury,2009,-8.1
Ku-area of Tokyo,Sea bream,2009,-4.5
Ku-area of Tokyo,Yellowtail,2009,-6.8
Ku-area of Tokyo,Cuttlefish,2009,-8.2
Ku-area of Tokyo,Octopus,2009,-12.5
Ku-area of Tokyo,Prawns,2009,-5.5
Ku-area of Tokyo,Short-necked clams,2009,0.2
Ku-area of Tokyo,Oysters,2009,-6.1
Ku-area of Tokyo,Scallops,2009,-2.8
Ku-area of Tokyo,Salted & dried fish,2009,-3.9
Ku-area of Tokyo,Salted salmon,2009,-7.8
Ku-area of Tokyo,Salted cod roe,2009,-2.7
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2009,-7.1
Ku-area of Tokyo,Dried horse mackerel,2009,-2.2
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2009,-1.3
Ku-area of Tokyo,Capelin,2009,-0.1
Ku-area of Tokyo,Fish-paste products,2009,9.3
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2009,13.5
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2009,12.8
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2009,3.1
Ku-area of Tokyo,Other processed fish & seafood,2009,0.9
Ku-area of Tokyo,Dried bonito fillets,2009,-1.2
Ku-area of Tokyo,Pickled fish,2009,2.9
Ku-area of Tokyo,Fish prepared in soy sauce,2009,1.2
Ku-area of Tokyo,Canned fish,2009,-1.6
Ku-area of Tokyo,Fish & seafood,2008,1.1
Ku-area of Tokyo,Fresh fish & seafood,2008,-0.1
Ku-area of Tokyo,Tuna fish,2008,-1.0
Ku-area of Tokyo,Horse mackerel,2008,4.7
Ku-area of Tokyo,Sardines,2008,1.1
Ku-area of Tokyo,Bonito,2008,-1.8
Ku-area of Tokyo,Salmon,2008,-3.9
Ku-area of Tokyo,Mackerel,2008,4.6
Ku-area of Tokyo,Saury,2008,-5.3
Ku-area of Tokyo,Sea bream,2008,0.3
Ku-area of Tokyo,Yellowtail,2008,4.3
Ku-area of Tokyo,Cuttlefish,2008,-0.2
Ku-area of Tokyo,Octopus,2008,6.9
Ku-area of Tokyo,Prawns,2008,-1.5
Ku-area of Tokyo,Short-necked clams,2008,5.8
Ku-area of Tokyo,Oysters,2008,4.1
Ku-area of Tokyo,Scallops,2008,-0.8
Ku-area of Tokyo,Salted & dried fish,2008,-0.8
Ku-area of Tokyo,Salted salmon,2008,-6.2
Ku-area of Tokyo,Salted cod roe,2008,1.4
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2008,-1.6
Ku-area of Tokyo,Dried horse mackerel,2008,-0.5
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2008,-1.5
Ku-area of Tokyo,Capelin,2008,4.8
Ku-area of Tokyo,Fish-paste products,2008,9.0
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2008,13.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2008,14.4
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2008,2.7
Ku-area of Tokyo,Other processed fish & seafood,2008,3.7
Ku-area of Tokyo,Dried bonito fillets,2008,3.5
Ku-area of Tokyo,Pickled fish,2008,3.7
Ku-area of Tokyo,Fish prepared in soy sauce,2008,1.8
Ku-area of Tokyo,Canned fish,2008,5.4
Ku-area of Tokyo,Fish & seafood,2007,0.6
Ku-area of Tokyo,Fresh fish & seafood,2007,1.2
Ku-area of Tokyo,Tuna fish,2007,1.3
Ku-area of Tokyo,Horse mackerel,2007,-1.4
Ku-area of Tokyo,Sardines,2007,1.3
Ku-area of Tokyo,Bonito,2007,3.5
Ku-area of Tokyo,Salmon,2007,2.6
Ku-area of Tokyo,Mackerel,2007,-0.6
Ku-area of Tokyo,Saury,2007,-0.7
Ku-area of Tokyo,Sea bream,2007,10.2
Ku-area of Tokyo,Yellowtail,2007,1.0
Ku-area of Tokyo,Cuttlefish,2007,-5.5
Ku-area of Tokyo,Octopus,2007,4.8
Ku-area of Tokyo,Prawns,2007,2.3
Ku-area of Tokyo,Short-necked clams,2007,-1.3
Ku-area of Tokyo,Oysters,2007,-0.7
Ku-area of Tokyo,Scallops,2007,-4.7
Ku-area of Tokyo,Salted & dried fish,2007,-2.6
Ku-area of Tokyo,Salted salmon,2007,-2.7
Ku-area of Tokyo,Salted cod roe,2007,-5.0
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2007,2.3
Ku-area of Tokyo,Dried horse mackerel,2007,-0.5
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2007,-2.3
Ku-area of Tokyo,Capelin,2007,-3.2
Ku-area of Tokyo,Fish-paste products,2007,-0.7
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2007,-1.2
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2007,-1.5
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2007,0.2
Ku-area of Tokyo,Other processed fish & seafood,2007,2.7
Ku-area of Tokyo,Dried bonito fillets,2007,-1.2
Ku-area of Tokyo,Pickled fish,2007,6.5
Ku-area of Tokyo,Fish prepared in soy sauce,2007,0.1
Ku-area of Tokyo,Canned fish,2007,0.6
Ku-area of Tokyo,Fish & seafood,2006,2.6
Ku-area of Tokyo,Fresh fish & seafood,2006,4.5
Ku-area of Tokyo,Tuna fish,2006,3.9
Ku-area of Tokyo,Horse mackerel,2006,5.2
Ku-area of Tokyo,Sardines,2006,-9.9
Ku-area of Tokyo,Bonito,2006,15.7
Ku-area of Tokyo,Salmon,2006,11.2
Ku-area of Tokyo,Mackerel,2006,-0.4
Ku-area of Tokyo,Saury,2006,7.3
Ku-area of Tokyo,Sea bream,2006,-4.3
Ku-area of Tokyo,Yellowtail,2006,4.5
Ku-area of Tokyo,Cuttlefish,2006,1.0
Ku-area of Tokyo,Octopus,2006,5.7
Ku-area of Tokyo,Prawns,2006,1.0
Ku-area of Tokyo,Short-necked clams,2006,1.9
Ku-area of Tokyo,Oysters,2006,3.5
Ku-area of Tokyo,Scallops,2006,4.7
Ku-area of Tokyo,Salted & dried fish,2006,-1.6
Ku-area of Tokyo,Salted salmon,2006,-1.0
Ku-area of Tokyo,Salted cod roe,2006,-2.9
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2006,-0.8
Ku-area of Tokyo,Dried horse mackerel,2006,-1.6
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2006,-1.9
Ku-area of Tokyo,Capelin,2006,-2.0
Ku-area of Tokyo,Fish-paste products,2006,4.5
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2006,4.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2006,3.7
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2006,5.1
Ku-area of Tokyo,Other processed fish & seafood,2006,-0.9
Ku-area of Tokyo,Dried bonito fillets,2006,-3.5
Ku-area of Tokyo,Pickled fish,2006,0.2
Ku-area of Tokyo,Fish prepared in soy sauce,2006,1.1
Ku-area of Tokyo,Canned fish,2006,-2.8
Ku-area of Tokyo,Fish & seafood,2005,-1.8
Ku-area of Tokyo,Fresh fish & seafood,2005,-3.4
Ku-area of Tokyo,Tuna fish,2005,-1.9
Ku-area of Tokyo,Horse mackerel,2005,-12.2
Ku-area of Tokyo,Sardines,2005,-2.7
Ku-area of Tokyo,Bonito,2005,-21.6
Ku-area of Tokyo,Salmon,2005,1.5
Ku-area of Tokyo,Mackerel,2005,-7.0
Ku-area of Tokyo,Saury,2005,-14.0
Ku-area of Tokyo,Sea bream,2005,-8.1
Ku-area of Tokyo,Yellowtail,2005,-5.0
Ku-area of Tokyo,Cuttlefish,2005,7.5
Ku-area of Tokyo,Octopus,2005,-4.8
Ku-area of Tokyo,Prawns,2005,-7.4
Ku-area of Tokyo,Short-necked clams,2005,-1.0
Ku-area of Tokyo,Oysters,2005,1.8
Ku-area of Tokyo,Scallops,2005,15.2
Ku-area of Tokyo,Salted & dried fish,2005,1.5
Ku-area of Tokyo,Salted salmon,2005,2.0
Ku-area of Tokyo,Salted cod roe,2005,-3.2
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2005,13.2
Ku-area of Tokyo,Dried horse mackerel,2005,-2.3
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2005,-0.4
Ku-area of Tokyo,Capelin,2005,13.0
Ku-area of Tokyo,Fish-paste products,2005,-1.2
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2005,-1.9
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2005,-0.7
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2005,-1.0
Ku-area of Tokyo,Other processed fish & seafood,2005,1.3
Ku-area of Tokyo,Dried bonito fillets,2005,-0.5
Ku-area of Tokyo,Pickled fish,2005,2.6
Ku-area of Tokyo,Fish prepared in soy sauce,2005,-0.9
Ku-area of Tokyo,Canned fish,2005,0.9
Ku-area of Tokyo,Fish & seafood,2004,-1.3
Ku-area of Tokyo,Fresh fish & seafood,2004,-1.3
Ku-area of Tokyo,Tuna fish,2004,0.8
Ku-area of Tokyo,Horse mackerel,2004,0.0
Ku-area of Tokyo,Sardines,2004,-5.8
Ku-area of Tokyo,Bonito,2004,15.2
Ku-area of Tokyo,Salmon,2004,-5.5
Ku-area of Tokyo,Mackerel,2004,-9.1
Ku-area of Tokyo,Saury,2004,-1.8
Ku-area of Tokyo,Sea bream,2004,-7.1
Ku-area of Tokyo,Yellowtail,2004,-2.8
Ku-area of Tokyo,Cuttlefish,2004,2.9
Ku-area of Tokyo,Octopus,2004,-0.6
Ku-area of Tokyo,Prawns,2004,-6.3
Ku-area of Tokyo,Short-necked clams,2004,0.8
Ku-area of Tokyo,Oysters,2004,-1.4
Ku-area of Tokyo,Scallops,2004,3.2
Ku-area of Tokyo,Salted & dried fish,2004,-1.2
Ku-area of Tokyo,Salted salmon,2004,0.4
Ku-area of Tokyo,Salted cod roe,2004,0.4
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2004,-2.4
Ku-area of Tokyo,Dried horse mackerel,2004,-2.8
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2004,-3.9
Ku-area of Tokyo,Capelin,2004,-0.6
Ku-area of Tokyo,Fish-paste products,2004,0.1
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2004,-2.5
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2004,-2.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2004,3.3
Ku-area of Tokyo,Other processed fish & seafood,2004,-2.6
Ku-area of Tokyo,Dried bonito fillets,2004,-3.9
Ku-area of Tokyo,Pickled fish,2004,-7.2
Ku-area of Tokyo,Fish prepared in soy sauce,2004,-2.6
Ku-area of Tokyo,Canned fish,2004,2.8
Ku-area of Tokyo,Fish & seafood,2003,-2.4
Ku-area of Tokyo,Fresh fish & seafood,2003,-2.9
Ku-area of Tokyo,Tuna fish,2003,-0.7
Ku-area of Tokyo,Horse mackerel,2003,-9.8
Ku-area of Tokyo,Sardines,2003,1.0
Ku-area of Tokyo,Bonito,2003,-19.6
Ku-area of Tokyo,Salmon,2003,-2.6
Ku-area of Tokyo,Mackerel,2003,6.9
Ku-area of Tokyo,Saury,2003,-12.8
Ku-area of Tokyo,Sea bream,2003,-9.5
Ku-area of Tokyo,Yellowtail,2003,-0.7
Ku-area of Tokyo,Cuttlefish,2003,-3.4
Ku-area of Tokyo,Octopus,2003,8.0
Ku-area of Tokyo,Prawns,2003,-5.3
Ku-area of Tokyo,Short-necked clams,2003,7.8
Ku-area of Tokyo,Oysters,2003,0.0
Ku-area of Tokyo,Scallops,2003,-7.7
Ku-area of Tokyo,Salted & dried fish,2003,-0.6
Ku-area of Tokyo,Salted salmon,2003,-4.7
Ku-area of Tokyo,Salted cod roe,2003,1.2
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2003,3.4
Ku-area of Tokyo,Dried horse mackerel,2003,-1.4
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2003,-1.7
Ku-area of Tokyo,Capelin,2003,-15.4
Ku-area of Tokyo,Fish-paste products,2003,-3.4
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2003,-0.8
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2003,-6.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2003,-4.0
Ku-area of Tokyo,Other processed fish & seafood,2003,-1.9
Ku-area of Tokyo,Dried bonito fillets,2003,-0.3
Ku-area of Tokyo,Pickled fish,2003,-1.7
Ku-area of Tokyo,Fish prepared in soy sauce,2003,-6.6
Ku-area of Tokyo,Canned fish,2003,-0.2
Ku-area of Tokyo,Fish & seafood,2002,-1.3
Ku-area of Tokyo,Fresh fish & seafood,2002,-1.4
Ku-area of Tokyo,Tuna fish,2002,-7.6
Ku-area of Tokyo,Horse mackerel,2002,4.1
Ku-area of Tokyo,Sardines,2002,20.5
Ku-area of Tokyo,Bonito,2002,7.7
Ku-area of Tokyo,Salmon,2002,-1.7
Ku-area of Tokyo,Mackerel,2002,-0.8
Ku-area of Tokyo,Saury,2002,2.5
Ku-area of Tokyo,Sea bream,2002,3.0
Ku-area of Tokyo,Yellowtail,2002,-6.7
Ku-area of Tokyo,Cuttlefish,2002,3.2
Ku-area of Tokyo,Octopus,2002,7.5
Ku-area of Tokyo,Prawns,2002,-5.5
Ku-area of Tokyo,Short-necked clams,2002,5.8
Ku-area of Tokyo,Oysters,2002,1.3
Ku-area of Tokyo,Scallops,2002,-8.6
Ku-area of Tokyo,Salted & dried fish,2002,-1.2
Ku-area of Tokyo,Salted salmon,2002,-8.3
Ku-area of Tokyo,Salted cod roe,2002,2.5
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2002,3.3
Ku-area of Tokyo,Dried horse mackerel,2002,-4.1
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2002,-3.2
Ku-area of Tokyo,Capelin,2002,-4.4
Ku-area of Tokyo,Fish-paste products,2002,-3.3
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2002,-1.0
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2002,-1.8
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2002,-5.7
Ku-area of Tokyo,Other processed fish & seafood,2002,0.8
Ku-area of Tokyo,Dried bonito fillets,2002,-2.8
Ku-area of Tokyo,Pickled fish,2002,-2.0
Ku-area of Tokyo,Fish prepared in soy sauce,2002,4.7
Ku-area of Tokyo,Canned fish,2002,4.5
Ku-area of Tokyo,Fish & seafood,2001,-1.0
Ku-area of Tokyo,Fresh fish & seafood,2001,-2.6
Ku-area of Tokyo,Tuna fish,2001,-8.4
Ku-area of Tokyo,Horse mackerel,2001,6.5
Ku-area of Tokyo,Sardines,2001,11.8
Ku-area of Tokyo,Bonito,2001,18.8
Ku-area of Tokyo,Salmon,2001,-7.1
Ku-area of Tokyo,Mackerel,2001,2.9
Ku-area of Tokyo,Saury,2001,-14.4
Ku-area of Tokyo,Sea bream,2001,8.4
Ku-area of Tokyo,Yellowtail,2001,-2.8
Ku-area of Tokyo,Cuttlefish,2001,-1.8
Ku-area of Tokyo,Octopus,2001,-3.5
Ku-area of Tokyo,Prawns,2001,-5.6
Ku-area of Tokyo,Short-necked clams,2001,-1.2
Ku-area of Tokyo,Oysters,2001,-3.5
Ku-area of Tokyo,Scallops,2001,6.1
Ku-area of Tokyo,Salted & dried fish,2001,4.3
Ku-area of Tokyo,Salted salmon,2001,-4.3
Ku-area of Tokyo,Salted cod roe,2001,15.9
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2001,-1.9
Ku-area of Tokyo,Dried horse mackerel,2001,3.1
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2001,0.1
Ku-area of Tokyo,Capelin,2001,-4.5
Ku-area of Tokyo,Fish-paste products,2001,-1.9
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2001,-1.4
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2001,-3.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2001,-1.7
Ku-area of Tokyo,Other processed fish & seafood,2001,-0.7
Ku-area of Tokyo,Dried bonito fillets,2001,-1.0
Ku-area of Tokyo,Pickled fish,2001,-0.4
Ku-area of Tokyo,Fish prepared in soy sauce,2001,-2.7
Ku-area of Tokyo,Canned fish,2001,0.3
Ku-area of Tokyo,Fish & seafood,2000,-2.7
Ku-area of Tokyo,Fresh fish & seafood,2000,-4.0
Ku-area of Tokyo,Tuna fish,2000,-1.1
Ku-area of Tokyo,Horse mackerel,2000,-6.5
Ku-area of Tokyo,Sardines,2000,10.3
Ku-area of Tokyo,Bonito,2000,-15.5
Ku-area of Tokyo,Salmon,2000,-15.2
Ku-area of Tokyo,Mackerel,2000,0.8
Ku-area of Tokyo,Saury,2000,0.8
Ku-area of Tokyo,Sea bream,2000,-5.0
Ku-area of Tokyo,Yellowtail,2000,3.2
Ku-area of Tokyo,Cuttlefish,2000,-10.6
Ku-area of Tokyo,Octopus,2000,-15.9
Ku-area of Tokyo,Prawns,2000,-4.8
Ku-area of Tokyo,Short-necked clams,2000,-0.2
Ku-area of Tokyo,Oysters,2000,-1.7
Ku-area of Tokyo,Scallops,2000,4.9
Ku-area of Tokyo,Salted & dried fish,2000,-1.3
Ku-area of Tokyo,Salted salmon,2000,-3.9
Ku-area of Tokyo,Salted cod roe,2000,6.1
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2000,-6.9
Ku-area of Tokyo,Dried horse mackerel,2000,-4.4
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2000,0.7
Ku-area of Tokyo,Capelin,2000,-9.0
Ku-area of Tokyo,Fish-paste products,2000,-2.8
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2000,-1.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2000,-3.9
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2000,-3.6
Ku-area of Tokyo,Other processed fish & seafood,2000,1.1
Ku-area of Tokyo,Dried bonito fillets,2000,6.3
Ku-area of Tokyo,Pickled fish,2000,4.2
Ku-area of Tokyo,Fish prepared in soy sauce,2000,-2.7
Ku-area of Tokyo,Canned fish,2000,-2.3
Ku-area of Tokyo,Fish & seafood,1999,-0.9
Ku-area of Tokyo,Fresh fish & seafood,1999,-1.2
Ku-area of Tokyo,Tuna fish,1999,2.9
Ku-area of Tokyo,Horse mackerel,1999,-7.4
Ku-area of Tokyo,Sardines,1999,-15.9
Ku-area of Tokyo,Bonito,1999,2.0
Ku-area of Tokyo,Salmon,1999,-4.9
Ku-area of Tokyo,Mackerel,1999,-5.6
Ku-area of Tokyo,Saury,1999,5.7
Ku-area of Tokyo,Sea bream,1999,-9.9
Ku-area of Tokyo,Yellowtail,1999,-0.9
Ku-area of Tokyo,Cuttlefish,1999,-4.4
Ku-area of Tokyo,Octopus,1999,-3.7
Ku-area of Tokyo,Prawns,1999,1.3
Ku-area of Tokyo,Short-necked clams,1999,-1.2
Ku-area of Tokyo,Oysters,1999,-1.3
Ku-area of Tokyo,Scallops,1999,3.3
Ku-area of Tokyo,Salted & dried fish,1999,-1.3
Ku-area of Tokyo,Salted salmon,1999,3.4
Ku-area of Tokyo,Salted cod roe,1999,-4.2
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",1999,-3.5
Ku-area of Tokyo,Dried horse mackerel,1999,-1.4
Ku-area of Tokyo,"""Niboshi"", dried small sardines",1999,0.2
Ku-area of Tokyo,Capelin,1999,-1.1
Ku-area of Tokyo,Fish-paste products,1999,-1.4
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",1999,-3.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",1999,0.0
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",1999,-0.6
Ku-area of Tokyo,Other processed fish & seafood,1999,1.7
Ku-area of Tokyo,Dried bonito fillets,1999,0.6
Ku-area of Tokyo,Pickled fish,1999,1.3
Ku-area of Tokyo,Fish prepared in soy sauce,1999,1.1
Ku-area of Tokyo,Canned fish,1999,3.3
Ku-area of Tokyo,Fish & seafood,1998,0.8
Ku-area of Tokyo,Fresh fish & seafood,1998,0.9
Ku-area of Tokyo,Tuna fish,1998,-0.6
Ku-area of Tokyo,Horse mackerel,1998,-0.2
Ku-area of Tokyo,Sardines,1998,4.6
Ku-area of Tokyo,Bonito,1998,-0.9
Ku-area of Tokyo,Salmon,1998,0.9
Ku-area of Tokyo,Mackerel,1998,-5.0
Ku-area of Tokyo,Saury,1998,-0.7
Ku-area of Tokyo,Sea bream,1998,-4.5
Ku-area of Tokyo,Yellowtail,1998,-4.9
Ku-area of Tokyo,Cuttlefish,1998,12.0
Ku-area of Tokyo,Octopus,1998,-1.4
Ku-area of Tokyo,Prawns,1998,7.4
Ku-area of Tokyo,Short-necked clams,1998,-0.2
Ku-area of Tokyo,Oysters,1998,-3.1
Ku-area of Tokyo,Scallops,1998,2.7
Ku-area of Tokyo,Salted & dried fish,1998,-0.2
Ku-area of Tokyo,Salted salmon,1998,2.8
Ku-area of Tokyo,Salted cod roe,1998,-0.9
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",1998,-2.3
Ku-area of Tokyo,Dried horse mackerel,1998,-2.4
Ku-area of Tokyo,"""Niboshi"", dried small sardines",1998,4.7
Ku-area of Tokyo,Capelin,1998,0.4
Ku-area of Tokyo,Fish-paste products,1998,0.1
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",1998,0.8
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",1998,0.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",1998,-0.6
Ku-area of Tokyo,Other processed fish & seafood,1998,2.7
Ku-area of Tokyo,Dried bonito fillets,1998,-2.0
Ku-area of Tokyo,Pickled fish,1998,4.5
Ku-area of Tokyo,Fish prepared in soy sauce,1998,4.5
Ku-area of Tokyo,Canned fish,1998,3.1
Ku-area of Tokyo,Fish & seafood,1997,0.5
Ku-area of Tokyo,Fresh fish & seafood,1997,-1.2
Ku-area of Tokyo,Tuna fish,1997,-2.9
Ku-area of Tokyo,Horse mackerel,1997,-5.5
Ku-area of Tokyo,Sardines,1997,0.9
Ku-area of Tokyo,Bonito,1997,-17.5
Ku-area of Tokyo,Salmon,1997,-3.2
Ku-area of Tokyo,Mackerel,1997,6.2
Ku-area of Tokyo,Saury,1997,-9.7
Ku-area of Tokyo,Sea bream,1997,3.1
Ku-area of Tokyo,Yellowtail,1997,11.3
Ku-area of Tokyo,Cuttlefish,1997,-8.9
Ku-area of Tokyo,Octopus,1997,6.6
Ku-area of Tokyo,Prawns,1997,6.9
Ku-area of Tokyo,Short-necked clams,1997,4.2
Ku-area of Tokyo,Oysters,1997,3.9
Ku-area of Tokyo,Scallops,1997,0.6
Ku-area of Tokyo,Salted & dried fish,1997,4.4
Ku-area of Tokyo,Salted salmon,1997,2.9
Ku-area of Tokyo,Salted cod roe,1997,7.9
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",1997,2.9
Ku-area of Tokyo,Dried horse mackerel,1997,2.0
Ku-area of Tokyo,"""Niboshi"", dried small sardines",1997,1.4
Ku-area of Tokyo,Capelin,1997,4.8
Ku-area of Tokyo,Fish-paste products,1997,-1.0
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",1997,0.2
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",1997,1.0
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",1997,-3.0
Ku-area of Tokyo,Other processed fish & seafood,1997,4.4
Ku-area of Tokyo,Dried bonito fillets,1997,1.7
Ku-area of Tokyo,Pickled fish,1997,8.1
Ku-area of Tokyo,Fish prepared in soy sauce,1997,4.0
Ku-area of Tokyo,Canned fish,1997,3.2
Ku-area of Tokyo,Fish & seafood,1996,2.0
Ku-area of Tokyo,Fresh fish & seafood,1996,4.2
Ku-area of Tokyo,Tuna fish,1996,-0.2
Ku-area of Tokyo,Horse mackerel,1996,3.7
Ku-area of Tokyo,Sardines,1996,38.1
Ku-area of Tokyo,Bonito,1996,27.2
Ku-area of Tokyo,Salmon,1996,0.0
Ku-area of Tokyo,Mackerel,1996,10.8
Ku-area of Tokyo,Saury,1996,33.7
Ku-area of Tokyo,Sea bream,1996,1.5
Ku-area of Tokyo,Yellowtail,1996,10.7
Ku-area of Tokyo,Cuttlefish,1996,-2.0
Ku-area of Tokyo,Octopus,1996,10.6
Ku-area of Tokyo,Prawns,1996,-0.6
Ku-area of Tokyo,Short-necked clams,1996,1.4
Ku-area of Tokyo,Oysters,1996,5.8
Ku-area of Tokyo,Scallops,1996,-7.5
Ku-area of Tokyo,Salted & dried fish,1996,-2.1
Ku-area of Tokyo,Salted salmon,1996,-7.3
Ku-area of Tokyo,Salted cod roe,1996,-3.0
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",1996,1.0
Ku-area of Tokyo,Dried horse mackerel,1996,3.2
Ku-area of Tokyo,"""Niboshi"", dried small sardines",1996,2.2
Ku-area of Tokyo,Capelin,1996,-3.2
Ku-area of Tokyo,Fish-paste products,1996,-2.4
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",1996,-4.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",1996,-1.3
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",1996,-1.4
Ku-area of Tokyo,Other processed fish & seafood,1996,0.3
Ku-area of Tokyo,Dried bonito fillets,1996,2.9
Ku-area of Tokyo,Pickled fish,1996,-0.9
Ku-area of Tokyo,Fish prepared in soy sauce,1996,2.2
Ku-area of Tokyo,Canned fish,1996,0.4
Ku-area of Tokyo,Fish & seafood,1995,-2.1
Ku-area of Tokyo,Fresh fish & seafood,1995,-2.2
Ku-area of Tokyo,Tuna fish,1995,-2.4
Ku-area of Tokyo,Horse mackerel,1995,-2.7
Ku-area of Tokyo,Sardines,1995,15.6
Ku-area of Tokyo,Bonito,1995,-8.5
Ku-area of Tokyo,Salmon,1995,-4.4
